sample_id,fastq
SRR3703106,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703106.fastq
SRR3703107,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703107.fastq
SRR3703108,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703108.fastq
SRR3703109,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703109.fastq
SRR3703110,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703110.fastq
SRR3703111,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703111.fastq
SRR3703112,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703112.fastq
SRR3703113,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703113.fastq
SRR3703114,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703114.fastq
SRR3703115,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703115.fastq
SRR3703116,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703116.fastq
SRR3703117,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703117.fastq
SRR3703118,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703118.fastq
SRR3703119,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703119.fastq
SRR3703120,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703120.fastq
SRR3703121,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703121.fastq
SRR3703122,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703122.fastq
SRR3703123,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703123.fastq
SRR3703124,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703124.fastq
SRR3703125,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703125.fastq
SRR3703126,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703126.fastq
SRR3703127,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703127.fastq
SRR3703128,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703128.fastq
SRR3703129,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703129.fastq
SRR3703130,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703130.fastq
SRR3703131,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703131.fastq
SRR3703132,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703132.fastq
SRR3703133,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703133.fastq
SRR3703134,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703134.fastq
SRR3703135,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703135.fastq
SRR3703136,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703136.fastq
SRR3703137,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703137.fastq
SRR3703138,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703138.fastq
SRR3703139,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703139.fastq
SRR3703140,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703140.fastq
SRR3703141,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703141.fastq
SRR3703142,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703142.fastq
SRR3703143,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703143.fastq
SRR3703144,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703144.fastq
SRR3703145,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703145.fastq
SRR3703146,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703146.fastq
SRR3703147,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703147.fastq
SRR3703148,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703148.fastq
SRR3703149,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703149.fastq
SRR3703150,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703150.fastq
SRR3703151,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703151.fastq
SRR3703152,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703152.fastq
SRR3703153,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703153.fastq
SRR3703154,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703154.fastq
SRR3703155,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703155.fastq
SRR3703156,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703156.fastq
SRR3703157,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703157.fastq
SRR3703158,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703158.fastq
SRR3703159,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703159.fastq
SRR3703160,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703160.fastq
SRR3703161,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703161.fastq
SRR3703162,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703162.fastq
SRR3703163,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703163.fastq
SRR3703164,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703164.fastq
SRR3703165,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703165.fastq
SRR3703166,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703166.fastq
SRR3703167,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703167.fastq
SRR3703168,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703168.fastq
SRR3703169,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703169.fastq
SRR3703170,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703170.fastq
SRR3703171,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703171.fastq
SRR3703172,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703172.fastq
SRR3703173,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703173.fastq
SRR3703174,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703174.fastq
SRR3703175,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703175.fastq
SRR3703176,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703176.fastq
SRR3703177,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703177.fastq
SRR3703178,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703178.fastq
SRR3703179,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703179.fastq
SRR3703180,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703180.fastq
SRR3703181,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703181.fastq
SRR3703182,/home/zgao/GEOdata/GSE83527/FASTQ_files/SRR3703182.fastq
